periodID,costInput,costDriverInput,costActivity,DataGranularityL1,DataGranularityL2,DataGranularityL3,DataGranularityL4
202303,2038413.976,1962997.305,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202304,1752362.396,1445191.552,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202305,1917723.88,1744526.126,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202306,1874984.203,1717174.267,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202307,1831592.734,1636271.365,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202308,1737933.067,1419071.824,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202309,1861302.18,1674915.14,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202310,1882126.407,1680088.181,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202311,1936934.224,1832679.378,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202312,1788221.986,1555407.098,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202401,1837903.64,1648037.979,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202402,1894565.256,1753682.919,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202403,1912437.667,1734957.112,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202404,1933440.052,1826164.535,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202405,1980777.232,1876886.44,Route 004,Belgium,Brussels,0% - 010%,0% - 100%
202206,1869430.584,1706819.607,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202207,1844246.334,1659863.859,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202208,1757398.902,1483106.741,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202209,1969103.617,1855547.889,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202210,1896860.613,1740557.016,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202211,1957409.036,1834171.013,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202212,1827475.751,1628595.298,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202301,1825996.954,1625838.098,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202302,1856719.831,1618385.147,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202303,2006828.952,1962997.305,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202304,1760113.537,1445191.552,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202305,1917723.88,1744526.126,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202306,1874984.203,1717174.267,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202307,1831592.734,1636271.365,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202308,1737933.067,1419071.824,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202309,1879268.663,1674915.14,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202310,1873115.421,1680088.181,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202311,1966422.406,1832679.378,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202312,1788221.986,1555407.098,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202401,1837903.64,1648037.979,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202402,1932188.074,1753682.919,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202403,1921742.937,1734957.112,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202404,1972617.862,1826164.535,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202405,1970710.737,1876886.44,Route 005,Belgium,Brussels,0% - 010%,0% - 100%
202206,1869430.584,1706819.607,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202207,1844246.334,1659863.859,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202208,1773307.894,1483106.741,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202209,1989007.711,1855547.889,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202210,1887525.308,1740557.016,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202211,1986921.219,1834171.013,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202212,1827475.751,1628595.298,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202301,1825996.954,1625838.098,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202302,1830679.686,1618385.147,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202303,2038413.976,1962997.305,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202304,1767864.679,1445191.552,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202305,1889654.101,1744526.126,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202306,1874984.203,1717174.267,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202307,1831592.734,1636271.365,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202308,1745544.118,1419071.824,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202309,1879268.663,1674915.14,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202310,1882126.407,1680088.181,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202311,1936934.224,1832679.378,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202312,1788221.986,1555407.098,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202401,1837903.64,1648037.979,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202402,1941593.778,1753682.919,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202403,1931048.208,1734957.112,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202404,1962823.409,1826164.535,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202405,1990843.726,1876886.44,Route 006,Belgium,Brussels,0% - 010%,0% - 100%
202206,1869430.584,1706819.607,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202207,1844246.334,1659863.859,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202208,1789216.886,1483106.741,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202209,1949199.523,1855547.889,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202210,1915531.223,1740557.016,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202211,1947571.642,1834171.013,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202212,1827475.751,1628595.298,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202301,1825996.954,1625838.098,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202302,1856719.831,1618385.147,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202303,2017357.293,1962997.305,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202304,1752362.396,1445191.552,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202305,1889654.101,1744526.126,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202306,1874984.203,1717174.267,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202307,1831592.734,1636271.365,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202308,1715099.914,1419071.824,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202309,1861302.18,1674915.14,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202310,1900148.38,1680088.181,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202311,1946763.618,1832679.378,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202312,1788221.986,1555407.098,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202401,1837903.64,1648037.979,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202402,1932188.074,1753682.919,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202403,1912437.667,1734957.112,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202404,1972617.862,1826164.535,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202405,1960644.243,1876886.44,Route 007,Belgium,Brussels,0% - 010%,0% - 100%
202206,1869430.584,1706819.607,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202207,1844246.334,1659863.859,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202208,1789216.886,1483106.741,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202209,1989007.711,1855547.889,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202210,1906195.918,1740557.016,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202211,1996758.613,1834171.013,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202212,1827475.751,1628595.298,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202301,1825996.954,1625838.098,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202302,1856719.831,1618385.147,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202303,2048942.317,1962997.305,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202304,1760113.537,1445191.552,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202305,1917723.88,1744526.126,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202306,1874984.203,1717174.267,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202307,1831592.734,1636271.365,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202308,1737933.067,1419071.824,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202309,1888251.904,1674915.14,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202310,1900148.38,1680088.181,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202311,1995910.588,1832679.378,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202312,1788221.986,1555407.098,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202401,1837903.64,1648037.979,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202402,1932188.074,1753682.919,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202403,1884521.855,1734957.112,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202404,1943234.505,1826164.535,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202405,1980777.232,1876886.44,Route 008,Belgium,Brussels,0% - 010%,0% - 100%
202206,1869430.584,1706819.607,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202207,1844246.334,1659863.859,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202208,1773307.894,1483106.741,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202209,1979055.664,1855547.889,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202210,1924866.528,1740557.016,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202211,1986921.219,1834171.013,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202212,1827475.751,1628595.298,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202301,1825996.954,1625838.098,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202302,1865399.879,1618385.147,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202303,2006828.952,1962997.305,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202304,1775615.82,1445191.552,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202305,1936437.066,1744526.126,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202306,1874984.203,1717174.267,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202307,1831592.734,1636271.365,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202308,1775988.322,1419071.824,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202309,1897235.145,1674915.14,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202310,1891137.394,1680088.181,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202311,1936934.224,1832679.378,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202312,1788221.986,1555407.098,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202401,1837903.64,1648037.979,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202402,1941593.778,1753682.919,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202403,1921742.937,1734957.112,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202404,1972617.862,1826164.535,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202405,2031109.703,1876886.44,Route 009,Belgium,Brussels,0% - 010%,0% - 100%
202206,1869430.584,1706819.607,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202207,1844246.334,1659863.859,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202208,1813080.374,1483106.741,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202209,2008911.805,1855547.889,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202210,1943537.138,1740557.016,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202211,1947571.642,1834171.013,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202212,1827475.751,1628595.298,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202301,1825996.954,1625838.098,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202302,1839359.735,1618385.147,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202303,2006828.952,1962997.305,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202304,1775615.82,1445191.552,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202305,1927080.473,1744526.126,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202306,1874984.203,1717174.267,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202307,1831592.734,1636271.365,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202308,1715099.914,1419071.824,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202309,1897235.145,1674915.14,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202310,1891137.394,1680088.181,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202311,1956593.012,1832679.378,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202312,1788221.986,1555407.098,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202401,1837903.64,1648037.979,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202402,1932188.074,1753682.919,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202403,1921742.937,1734957.112,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202404,1962823.409,1826164.535,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202405,1980777.232,1876886.44,Route 010,Belgium,Brussels,0% - 020%,0% - 100%
202206,1869430.584,1706819.607,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202207,1844246.334,1659863.859,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202208,1749444.407,1483106.741,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202209,2008911.805,1855547.889,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202210,1906195.918,1740557.016,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202211,1937734.247,1834171.013,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202212,1827475.751,1628595.298,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202301,1825996.954,1625838.098,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202302,1848039.783,1618385.147,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202303,2112112.365,1962997.305,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202304,1775615.82,1445191.552,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202305,1973863.437,1744526.126,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202306,1874984.203,1717174.267,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202307,1831592.734,1636271.365,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202308,1715099.914,1419071.824,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202309,1924184.869,1674915.14,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202310,1873115.421,1680088.181,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202311,1946763.618,1832679.378,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202312,1788221.986,1555407.098,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202401,1837903.64,1648037.979,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202402,1903970.961,1753682.919,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202403,1921742.937,1734957.112,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202404,1982412.314,1826164.535,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202405,1960644.243,1876886.44,Route 011,Belgium,Brussels,0% - 020%,0% - 100%
202206,1869430.584,1706819.607,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202207,1844246.334,1659863.859,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202208,1789216.886,1483106.741,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202209,2018863.852,1855547.889,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202210,1980878.358,1740557.016,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202211,1986921.219,1834171.013,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202212,1827475.751,1628595.298,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202301,1825996.954,1625838.098,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202302,1917480.169,1618385.147,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202303,2017357.293,1962997.305,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202304,1729108.971,1445191.552,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202305,1945793.658,1744526.126,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202306,1874984.203,1717174.267,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202307,1831592.734,1636271.365,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202308,1730322.016,1419071.824,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202309,1879268.663,1674915.14,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202310,1855093.448,1680088.181,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202311,1976251.8,1832679.378,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202312,1788221.986,1555407.098,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202401,1837903.64,1648037.979,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202402,1941593.778,1753682.919,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202403,1968269.289,1734957.112,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202404,1953028.957,1826164.535,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202405,2061309.186,1876886.44,Route 012,Belgium,Brussels,0% - 020%,0% - 100%
202206,1869430.584,1706819.607,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202207,1844246.334,1659863.859,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202208,1836943.862,1483106.741,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202209,2048719.994,1855547.889,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202210,1906195.918,1740557.016,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202211,1947571.642,1834171.013,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202212,1827475.751,1628595.298,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202301,1825996.954,1625838.098,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202302,1874079.928,1618385.147,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202303,2027885.634,1962997.305,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202304,1744611.254,1445191.552,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202305,2001933.216,1744526.126,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202306,1874984.203,1717174.267,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202307,1831592.734,1636271.365,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202308,1745544.118,1419071.824,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202309,1960117.834,1674915.14,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202310,1954214.298,1680088.181,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202311,1976251.8,1832679.378,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202312,1788221.986,1555407.098,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202401,1837903.64,1648037.979,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202402,1950999.483,1753682.919,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202403,1949658.748,1734957.112,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202404,2002001.219,1826164.535,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202405,2000910.22,1876886.44,Route 013,Belgium,Brussels,0% - 020%,0% - 100%
202206,1869430.584,1706819.607,Route 014,Belgium,Brussels,0% - 020%,0% - 100%
