observationID,obsGroupID,periodID,costInput,costDriverInput,costActivity,dataGranularityL1,dataGranularityL2,dataGranularityL3,dataGranularityL4,isGranular,runtTimeVersion,PK_ID,Source
19,1,202501,3696211.614,1555407.098,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,19_1_1,Business Input
20,1,202502,4699888.082,1648037.979,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,20_1_1,Business Input
21,1,202503,4756549.698,1753682.919,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,21_1_1,Business Input
22,1,202504,4746506.297,1734957.112,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,22_1_1,Business Input
23,1,202505,5245969.303,1826164.535,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,23_1_1,Business Input
24,1,202506,5617881.733,1876886.44,HUB 008,Spain,Barcelona,8) 140%,0% - 200%,Y,202506081933,24_1_1,Business Input
1,2,202307,1869430.584,1706819.607,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,1_2_1,Business Input
2,2,202308,1844246.334,1659863.859,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,2_2_1,Business Input
3,2,202309,1749444.407,1483106.741,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,3_2_1,Business Input
4,2,202310,1949199.523,1855547.889,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,4_2_1,Business Input
5,2,202311,2232931.591,1740557.016,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,5_2_1,Business Input
6,2,202312,1977083.825,1834171.013,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,6_2_1,Business Input
7,2,202401,1827475.751,1628595.298,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,7_2_1,Business Input
8,2,202402,1825996.954,1625838.098,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,8_2_1,Business Input
9,2,202403,1821999.638,1618385.147,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,9_2_1,Business Input
10,2,202404,2006828.952,1962997.305,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,10_2_1,Business Input
11,2,202405,1969394.36,1445191.552,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,11_2_1,Business Input
12,2,202406,2460406.267,1744526.126,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,12_2_1,Business Input
13,2,202407,1874984.203,1717174.267,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,13_2_1,Business Input
14,2,202408,1831592.734,1636271.365,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,14_2_1,Business Input
15,2,202409,1715099.914,1419071.824,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,15_2_1,Business Input
16,2,202410,1852318.939,1674915.14,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,16_2_1,Business Input
17,2,202411,2657071.233,1680088.181,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,17_2_1,Business Input
18,2,202412,2723285.752,1832679.378,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,18_2_1,Business Input
19,2,202501,1788221.986,1555407.098,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,19_2_1,Business Input
20,2,202502,1837903.64,1648037.979,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,20_2_1,Business Input
21,2,202503,1894565.256,1753682.919,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,21_2_1,Business Input
22,2,202504,1884521.855,1734957.112,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,22_2_1,Business Input
23,2,202505,2628846.172,1826164.535,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,23_2_1,Business Input
24,2,202506,2876695.224,1876886.44,Route 006,Belgium,Brussels,6) 100%,0% - 200%,Y,202506081933,24_2_1,Business Input
1,3,202307,1869430.584,1706819.607,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,1_3_1,Business Input
2,3,202308,1844246.334,1659863.859,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,2_3_1,Business Input
3,3,202309,1749444.407,1483106.741,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,3_3_1,Business Input
4,3,202310,2903194.337,1855547.889,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,4_3_1,Business Input
5,3,202311,2897531.952,1740557.016,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,5_3_1,Business Input
6,3,202312,3698395.397,1834171.013,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,6_3_1,Business Input
7,3,202401,1827475.751,1628595.298,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,7_3_1,Business Input
8,3,202402,1825996.954,1625838.098,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,8_3_1,Business Input
9,3,202403,1821999.638,1618385.147,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,9_3_1,Business Input
10,3,202404,2960823.765,1962997.305,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,10_3_1,Business Input
11,3,202405,3931641.978,1445191.552,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,11_3_1,Business Input
12,3,202406,2871718.694,1744526.126,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,12_3_1,Business Input
13,3,202407,1874984.203,1717174.267,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,13_3_1,Business Input
14,3,202408,1831592.734,1636271.365,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,14_3_1,Business Input
15,3,202409,1715099.914,1419071.824,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,15_3_1,Business Input
16,3,202410,1852318.939,1674915.14,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,16_3_1,Business Input
17,3,202411,1936192.326,1680088.181,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,17_3_1,Business Input
18,3,202412,3657621.777,1832679.378,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,18_3_1,Business Input
19,3,202501,3696211.614,1555407.098,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,19_3_1,Business Input
20,3,202502,4699888.082,1648037.979,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,20_3_1,Business Input
21,3,202503,4756549.698,1753682.919,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,21_3_1,Business Input
22,3,202504,4746506.297,1734957.112,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,22_3_1,Business Input
23,3,202505,5010902.446,1826164.535,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,23_3_1,Business Input
24,3,202506,5013892.076,1876886.44,HUB 006,Spain,Barcelona,6) 100%,0% - 200%,Y,202506081933,24_3_1,Business Input
1,4,202307,1869430.584,1706819.607,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,1_4_1,Business Input
2,4,202308,1844246.334,1659863.859,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,2_4_1,Business Input
3,4,202309,1749444.407,1483106.741,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,3_4_1,Business Input
4,4,202310,1949199.523,1855547.889,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,4_4_1,Business Input
5,4,202311,1915531.223,1740557.016,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,5_4_1,Business Input
6,4,202312,2055782.979,1834171.013,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,6_4_1,Business Input
7,4,202401,1827475.751,1628595.298,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,7_4_1,Business Input
8,4,202402,1825996.954,1625838.098,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,8_4_1,Business Input
9,4,202403,1821999.638,1618385.147,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,9_4_1,Business Input
10,4,202404,2006828.952,1962997.305,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,10_4_1,Business Input
11,4,202405,1791118.103,1445191.552,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,11_4_1,Business Input
12,4,202406,2048716.18,1744526.126,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,12_4_1,Business Input
13,4,202407,1874984.203,1717174.267,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,13_4_1,Business Input
14,4,202408,1831592.734,1636271.365,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,14_4_1,Business Input
15,4,202409,1715099.914,1419071.824,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,15_4_1,Business Input
16,4,202410,1852318.939,1674915.14,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,16_4_1,Business Input
17,4,202411,1927181.339,1680088.181,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,17_4_1,Business Input
18,4,202412,1976251.8,1832679.378,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,18_4_1,Business Input
19,4,202501,1788221.986,1555407.098,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,19_4_1,Business Input
20,4,202502,1837903.64,1648037.979,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,20_4_1,Business Input
21,4,202503,1894565.256,1753682.919,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,21_4_1,Business Input
22,4,202504,1884521.855,1734957.112,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,22_4_1,Business Input
23,4,202505,1943234.505,1826164.535,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,23_4_1,Business Input
24,4,202506,1980777.232,1876886.44,Route 002,Belgium,Brussels,2) 20%,0% - 100%,Y,202506081933,24_4_1,Business Input
1,5,202307,1869430.584,1706819.607,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,1_5_1,Business Input
2,5,202308,1844246.334,1659863.859,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,2_5_1,Business Input
3,5,202309,1749444.407,1483106.741,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,3_5_1,Business Input
4,5,202310,1949199.523,1855547.889,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,4_5_1,Business Input
5,5,202311,2914408.853,1740557.016,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,5_5_1,Business Input
6,5,202312,1967246.43,1834171.013,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,6_5_1,Business Input
7,5,202401,1827475.751,1628595.298,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,7_5_1,Business Input
8,5,202402,1825996.954,1625838.098,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,8_5_1,Business Input
9,5,202403,1821999.638,1618385.147,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,9_5_1,Business Input
10,5,202404,2006828.952,1962997.305,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,10_5_1,Business Input
11,5,202405,3015798.472,1445191.552,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,11_5_1,Business Input
12,5,202406,2741104.053,1744526.126,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,12_5_1,Business Input
13,5,202407,1874984.203,1717174.267,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,13_5_1,Business Input
14,5,202408,1831592.734,1636271.365,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,14_5_1,Business Input
15,5,202409,1715099.914,1419071.824,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,15_5_1,Business Input
16,5,202410,1852318.939,1674915.14,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,16_5_1,Business Input
17,5,202411,2233554.875,1680088.181,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,17_5_1,Business Input
18,5,202412,2074545.741,1832679.378,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,18_5_1,Business Input
19,5,202501,1788221.986,1555407.098,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,19_5_1,Business Input
20,5,202502,1837903.64,1648037.979,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,20_5_1,Business Input
21,5,202503,1894565.256,1753682.919,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,21_5_1,Business Input
22,5,202504,1884521.855,1734957.112,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,22_5_1,Business Input
23,5,202505,2609257.267,1826164.535,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,23_5_1,Business Input
24,5,202506,3490751.376,1876886.44,Route 010,Belgium,Brussels,10) 180%,0% - 200%,Y,202506081933,24_5_1,Business Input
1,6,202307,1869430.584,1706819.607,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,1_6_1,Business Input
2,6,202308,1844246.334,1659863.859,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,2_6_1,Business Input
3,6,202309,1749444.407,1483106.741,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,3_6_1,Business Input
4,6,202310,1949199.523,1855547.889,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,4_6_1,Business Input
5,6,202311,2914408.853,1740557.016,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,5_6_1,Business Input
6,6,202312,2016433.402,1834171.013,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,6_6_1,Business Input
7,6,202401,1827475.751,1628595.298,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,7_6_1,Business Input
8,6,202402,1825996.954,1625838.098,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,8_6_1,Business Input
9,6,202403,1821999.638,1618385.147,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,9_6_1,Business Input
10,6,202404,2006828.952,1962997.305,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,10_6_1,Business Input
11,6,202405,1891882.944,1445191.552,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,11_6_1,Business Input
12,6,202406,2619468.345,1744526.126,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,12_6_1,Business Input
13,6,202407,1874984.203,1717174.267,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,13_6_1,Business Input
14,6,202408,1831592.734,1636271.365,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,14_6_1,Business Input
15,6,202409,1715099.914,1419071.824,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,15_6_1,Business Input
16,6,202410,1852318.939,1674915.14,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,16_6_1,Business Input
17,6,202411,2666082.22,1680088.181,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,17_6_1,Business Input
18,6,202412,2015569.377,1832679.378,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,18_6_1,Business Input
19,6,202501,1788221.986,1555407.098,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,19_6_1,Business Input
20,6,202502,1837903.64,1648037.979,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,20_6_1,Business Input
21,6,202503,1894565.256,1753682.919,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,21_6_1,Business Input
22,6,202504,1884521.855,1734957.112,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,22_6_1,Business Input
23,6,202505,3050007.624,1826164.535,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,23_6_1,Business Input
24,6,202506,2906894.707,1876886.44,Route 007,Belgium,Brussels,7) 120%,0% - 200%,Y,202506081933,24_6_1,Business Input
1,7,202307,1869430.584,1706819.607,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,1_7_1,Business Input
2,7,202308,1844246.334,1659863.859,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,2_7_1,Business Input
3,7,202309,1749444.407,1483106.741,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,3_7_1,Business Input
4,7,202310,1949199.523,1855547.889,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,4_7_1,Business Input
5,7,202311,3007761.902,1740557.016,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,5_7_1,Business Input
6,7,202312,1937734.247,1834171.013,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,6_7_1,Business Input
7,7,202401,1827475.751,1628595.298,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,7_7_1,Business Input
8,7,202402,1825996.954,1625838.098,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,8_7_1,Business Input
9,7,202403,1821999.638,1618385.147,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,9_7_1,Business Input
10,7,202404,2006828.952,1962997.305,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,10_7_1,Business Input
11,7,202405,2457716.279,1445191.552,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,11_7_1,Business Input
12,7,202406,2834669.982,1744526.126,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,12_7_1,Business Input
13,7,202407,1874984.203,1717174.267,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,13_7_1,Business Input
14,7,202408,1831592.734,1636271.365,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,14_7_1,Business Input
15,7,202409,1715099.914,1419071.824,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,15_7_1,Business Input
16,7,202410,1852318.939,1674915.14,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,16_7_1,Business Input
17,7,202411,2738170.11,1680088.181,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,17_7_1,Business Input
18,7,202412,2860897.269,1832679.378,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,18_7_1,Business Input
19,7,202501,1788221.986,1555407.098,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,19_7_1,Business Input
20,7,202502,1837903.64,1648037.979,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,20_7_1,Business Input
21,7,202503,1894565.256,1753682.919,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,21_7_1,Business Input
22,7,202504,1884521.855,1734957.112,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,22_7_1,Business Input
23,7,202505,3079390.981,1826164.535,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,23_7_1,Business Input
24,7,202506,3178690.053,1876886.44,Route 008,Belgium,Brussels,8) 140%,0% - 200%,Y,202506081933,24_7_1,Business Input
1,8,202307,1869430.584,1706819.607,HUB 002,Spain,Barcelona,2) 20%,0% - 100%,Y,202506081933,1_8_1,Business Input
2,8,202308,1844246.334,1659863.859,HUB 002,Spain,Barcelona,2) 20%,0% - 100%,Y,202506081933,2_8_1,Business Input
3,8,202309,1749444.407,1483106.741,HUB 002,Spain,Barcelona,2) 20%,0% - 100%,Y,202506081933,3_8_1,Business Input
4,8,202310,2903194.337,1855547.889,HUB 002,Spain,Barcelona,2) 20%,0% - 100%,Y,202506081933,4_8_1,Business Input
5,8,202311,2878861.342,1740557.016,HUB 002,Spain,Barcelona,2) 20%,0% - 100%,Y,202506081933,5_8_1,Business Input
6,8,202312,2960590.821,1834171.013,HUB 002,Spain,Barcelona,2) 20%,0% - 100%,Y,202506081933,6_8_1,Business Input
7,8,202401,1827475.751,1628595.298,HUB 002,Spain,Barcelona,2) 20%,0% - 100%,Y,202506081933,7_8_1,Business Input
8,8,202402,1825996.954,1625838.098,HUB 002,Spain,Barcelona,2) 20%,0% - 100%,Y,202506081933,8_8_1,Business Input
9,8,202403,1821999.638,1618385.147,HUB 002,Spain,Barcelona,2) 20%,0% - 100%,Y,202506081933,9_8_1,Business Input
10,8,202404,2960823.765,1962997.305,HUB 002,Spain,Barcelona,2) 20%,0% - 100%,Y,202506081933,10_8_1,Business Input
11,8,202405,3660352.023,1445191.552,HUB 002,Spain,Barcelona,2) 20%,0% - 100%,Y,202506081933,11_8_1,Business Input
12,8,202406,2899788.472,1744526.126,HUB 002,Spain,Barcelona,2) 20%,0% - 100%,Y,202506081933,12_8_1,Business Input
13,8,202407,1874984.203,1717174.267,HUB 002,Spain,Barcelona,2) 20%,0% - 100%,Y,202506081933,13_8_1,Business Input
14,8,202408,1831592.734,1636271.365,HUB 002,Spain,Barcelona,2) 20%,0% - 100%,Y,202506081933,14_8_1,Business Input
15,8,202409,1715099.914,1419071.824,HUB 002,Spain,Barcelona,2) 20%,0% - 100%,Y,202506081933,15_8_1,Business Input
16,8,202410,1852318.939,1674915.14,HUB 002,Spain,Barcelona,2) 20%,0% - 100%,Y,202506081933,16_8_1,Business Input
